,MI1,Gindara nabe,Codfish stew soup with vegetables,銀鱈鍋（１人前）,Soup cá tuyết hầm rau củ,,,,198000,,2,13,NULL,NULL,NULL
,MI2,Enoki Miso soup,Enokitake miso soup,えのきの味噌汁,Soup miso nấm,,,,48000,,2,13,NULL,NULL,NULL
,MI3,Wakame Miso soup,Seaweed miso soup,わかめの味噌汁,Soup miso rong biển,,,,58000,,2,13,NULL,NULL,NULL
,MI5,Spicy Kaisen soup,Spicy seafood soup ,海鮮スパイシースープ,Soup cay thập cẩm,,,,88000,,2,13,NULL,NULL,NULL
,MI6,Sake Miso soup,Salmon bone soup with mushrooms and vegetables,鮭のお味噌汁,Súp xương cá hồi hầm và rau củ,,,,98000,,2,13,NULL,NULL,NULL
