,GU2,Ikura,Salmon roe,いくら,Cuộn trứng cá hồi,,,,113400,,2,6,NULL,NULL,NULL
,GU3,Spicy sake,Spicy salmon,スパイシーサーモン,Cuộn cá hồi cay,,1,,60900,,2,6,NULL,NULL,NULL
,GU4,Ebi tobiko mayo,Shrimp with seasoned flying fish roe & mayo,海老ととびこマヨネーズ,"Cuộn tôm, trứng cá chuồn trộn sốt mayo",,,,71400,,2,6,NULL,NULL,NULL
,GU5,Wakame,Seaweed,わかめ,Cuộn rong biển,1,,,50400,,2,6,NULL,NULL,NULL
,GU6,Foie gras,Foie gras,フォアグラ,Cuộn gan ngỗng,,,,155400,,2,6,NULL,NULL,NULL
,GU7,Tobiko,Seasoned flying fish roe,とびこ,Cuộn trứng cá chuồn,,,,81900,,2,6,NULL,NULL,NULL
,GU8,Sake kawa tobiko,Salmon skin with seasoned flying fish roe & mayo,鮭皮ととびこ,"Cuộn da cá hồi, trứng cá chuồn trộn sốt mayo",,,,86100,,2,6,NULL,NULL,NULL
,GU9,Hotate himo,Seasoned scallop skin,ほたて貝ひも,Cuộn da sò điệp,,,,92400,,2,6,NULL,NULL,NULL
,GU10,Unagi,Grilled Japanese eel ,うなぎ,Cuộn lươn Nhật,,,,92400,,2,6,NULL,NULL,NULL
